Sl. No.,value of c,Abs_error
1,2.0,--
2,2.25,0.25
3,2.125,0.125
4,2.1875,0.0625
5,2.21875,0.03125
6,2.234375,0.015625
7,2.2265625,0.0078125
8,2.22265625,0.00390625
9,2.220703125,0.001953125
10,2.2197265625,0.0009765625
11,2.21923828125,0.00048828125
12,2.218994140625,0.000244140625
13,2.2191162109375,0.0001220703125
14,2.21905517578125,6.103515625e-05
15,2.219085693359375,3.0517578125e-05
16,2.2191009521484375,1.52587890625e-05
17,2.2191085815429688,7.62939453125e-06
18,2.219104766845703,3.814697265625e-06
19,2.219106674194336,1.9073486328125e-06
20,2.2191076278686523,9.5367431640625e-07
