Sl. No.,value of c,Abs_error
1,0.8125,--
2,-0.03125,0.84375
3,-0.453125,0.421875
4,-0.6640625,0.2109375
5,-0.76953125,0.10546875
6,-0.716796875,0.052734375
7,-0.7431640625,0.0263671875
8,-0.72998046875,0.01318359375
9,-0.736572265625,0.006591796875
10,-0.7398681640625,0.0032958984375
11,-0.73822021484375,0.00164794921875
12,-0.739044189453125,0.000823974609375
13,-0.7394561767578125,0.0004119873046875
14,-0.7392501831054688,0.00020599365234375
15,-0.7391471862792969,0.000102996826171875
16,-0.7390956878662109,5.14984130859375e-05
17,-0.739069938659668,2.574920654296875e-05
18,-0.7390828132629395,1.2874603271484375e-05
19,-0.7390892505645752,6.4373016357421875e-06
20,-0.7390860319137573,3.2186508178710938e-06
21,-0.7390844225883484,1.6093254089355469e-06
22,-0.7390852272510529,8.046627044677734e-07
